Survey year,Survey ID,Survey name official,Survey name,Survey abbriviation,Cruise ID,Cruise code,Stratum ID,Station ID,Haul ID,Haul number,Vessel ID,Vessel name,Date and time,Start latitude (decimal degrees),Start longitude (decimal degrees),End latitude (decimal degrees),End longitude (decimal degrees),Depth (m),Distance fished (km),Tow duration (decimal hr),Area swept (km),Net height (m),Net width (m),Haul performance code,Bottom temperature (degrees Celsius),Surface temperature (degrees Celsius),Taxon code,Taxon common name,Taxon scientific name,Taxon weight (kg),Taxon count,Weight CPUE (kg/km2),Number CPUE (no/km2),Taxon confidence rating,Lowest taxonomic rank,Integrated taxonomic information system (ITIS) serial number,World register of marine species (WoRMS) taxonomic serial number
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,31,F-04,-23349,74,162,ALASKA KNIGHT,19-JUN-2024 04:24PM,56.64215,-165.83279,56.67025,-165.83213,79,3.122,.543,.046946,1.785,15.037,0,2.9,7.5,68580,snow crab,Chionoecetes opilio,.37,2,7.881477,42.60258,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,20,L-01,-23440,96,134,NORTHWEST EXPLORER,27-JUN-2024 10:47AM,58.65375,-167.87944,58.68054,-167.88563,47,2.999,.527,.043911,2.146,14.642,0,2.7,3.3,68580,snow crab,Chionoecetes opilio,.045,1,1.024792,22.773151,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,O-21,-23485,113,162,ALASKA KNIGHT,01-JUL-2024 07:04AM,59.67824,-170.57807,59.65141,-170.57925,67,2.982,.538,.045091,1.748,15.121,0,-.6,3.6,68580,snow crab,Chionoecetes opilio,177.875,6358,3944.816087,141004.304601,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,50,A-05,-23340,69,162,ALASKA KNIGHT,18-JUN-2024 02:03PM,54.98743,-165.13897,55.00581,-165.1732,111,2.998,.539,.044553,1.859,14.861,0,4.3,6.8,68580,snow crab,Chionoecetes opilio,.52,1,11.67142,22.445038,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,50,E-19,-23552,122,134,NORTHWEST EXPLORER,05-JUL-2024 10:01AM,56.3367,-168.90104,56.33117,-168.85756,129,2.764,.504,.04308,2.399,15.586,0,3.9,6.7,68580,snow crab,Chionoecetes opilio,.267,2,6.197814,46.425574,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,82,U-26,-23726,168,162,ALASKA KNIGHT,17-JUL-2024 04:10PM,61.67786,-174.43221,61.65494,-174.41093,77,2.786,.513,.041949,2.152,15.057,0,.5,6.2,68580,snow crab,Chionoecetes opilio,64.806,1768,1544.883213,42146.614819,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,R-29,-23756,168,134,NORTHWEST EXPLORER,20-JUL-2024 02:36PM,60.67654,-176.20567,60.66156,-176.24946,118,2.921,.521,.048191,2.224,16.498,0,1.3,7.2,68580,snow crab,Chionoecetes opilio,42.235,220,876.414678,4565.200168,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,82,T-27,-23739,174,162,ALASKA KNIGHT,19-JUL-2024 10:05AM,61.34119,-175.05824,61.32549,-175.01853,88,2.755,.516,.052276,1.563,18.975,0,1.2,6.4,68580,snow crab,Chionoecetes opilio,30.246,479,578.581523,9162.882673,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,42,H-22,-23645,146,162,ALASKA KNIGHT,12-JUL-2024 12:04PM,57.33965,-170.85011,57.36382,-170.83578,83,2.822,.518,.044494,2.216,15.767,0,3.1,6.9,68580,snow crab,Chionoecetes opilio,98.29,1193,2209.038363,26812.318312,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,50,E-21,-23622,133,134,NORTHWEST EXPLORER,11-JUL-2024 07:35AM,56.33629,-170.06521,56.35887,-170.08955,110,2.927,.521,.047224,1.697,16.134,0,3.9,5,68580,snow crab,Chionoecetes opilio,4.728,11,100.118122,232.931332,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,P-20,-23480,111,162,ALASKA KNIGHT,30-JUN-2024 12:48PM,60.01296,-169.98983,59.99327,-169.95525,55,2.921,.522,.043467,1.705,14.881,0,1.4,3.1,68580,snow crab,Chionoecetes opilio,49.35,2323,1135.33358,53442.34867,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,Q-21,-23478,109,162,ALASKA KNIGHT,30-JUN-2024 07:04AM,60.35094,-170.66702,60.32462,-170.68685,62,3.124,.547,.047838,1.552,15.313,0,-1,3.1,68580,snow crab,Chionoecetes opilio,255.45,8629,5339.918138,180380.323414,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,32,G-18,-23544,127,162,ALASKA KNIGHT,04-JUL-2024 01:26PM,57.00828,-168.34829,56.98772,-168.31903,80,2.897,.533,.045555,2.344,15.725,0,3.3,6.3,68580,snow crab,Chionoecetes opilio,.385,2,8.451262,43.902661,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,G-23,-23652,136,134,NORTHWEST EXPLORER,12-JUL-2024 07:37AM,56.98192,-171.38861,57.00895,-171.38671,110,3.005,.534,.049495,1.774,16.471,0,2.8,7.1,68580,snow crab,Chionoecetes opilio,3.347,40,67.622507,808.156644,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,K-24,-23860,192,134,NORTHWEST EXPLORER,27-JUL-2024 02:43PM,58.33008,-172.30684,58.30494,-172.30363,103,2.799,.507,.04465,1.874,15.952,0,1.9,8.3,68580,snow crab,Chionoecetes opilio,31.696,416,709.882416,9316.982745,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,N-30,-23806,179,134,NORTHWEST EXPLORER,24-JUL-2024 01:22PM,59.36137,-176.39128,59.33608,-176.38437,136,2.839,.512,.046315,1.914,16.314,0,1.2,7.7,68580,snow crab,Chionoecetes opilio,1.813,23,39.144608,496.594592,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,43,Q-25,-23696,148,134,NORTHWEST EXPLORER,15-JUL-2024 07:40AM,60.30022,-173.37317,60.28915,-173.37481,63,1.234,.224,.019212,1.901,15.569,0,.6,3.8,68580,snow crab,Chionoecetes opilio,23.619,1052,1229.37854,54757.027143,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,31,F-06,-23287,63,162,ALASKA KNIGHT,14-JUN-2024 12:54PM,56.67889,-164.60119,56.65343,-164.60719,75,2.853,.509,.043274,2.231,15.168,0,3.3,4.6,68580,snow crab,Chionoecetes opilio,.38,1,8.781193,23.108402,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,42,J-21,-23508,112,134,NORTHWEST EXPLORER,02-JUL-2024 10:30AM,57.99988,-170.35106,58.00122,-170.3024,74,2.888,.529,.046003,1.795,15.929,0,.6,4.9,68580,snow crab,Chionoecetes opilio,245.48,3139,5336.179296,68234.751544,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,43,O-23,-23677,146,134,NORTHWEST EXPLORER,14-JUL-2024 01:34PM,59.65527,-171.8782,59.67733,-171.9064,78,2.924,.525,.045167,1.723,15.447,0,-.2,5.6,68580,snow crab,Chionoecetes opilio,87.4,1686,1935.03987,37328.114659,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,43,N-23,-23664,143,134,NORTHWEST EXPLORER,13-JUL-2024 03:52PM,59.31409,-171.83326,59.34033,-171.83005,81,2.921,.525,.04876,1.957,16.693,0,-.1,5.9,68580,snow crab,Chionoecetes opilio,93.171,1039,1910.798125,21308.338987,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,50,D-18,-23558,132,162,ALASKA KNIGHT,05-JUL-2024 04:45PM,55.98882,-168.14606,55.99586,-168.18695,146,2.674,.5,.043134,2.247,16.131,0,3.9,7.1,68580,snow crab,Chionoecetes opilio,.54,1,12.519041,23.183409,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,31,I-02,-23437,93,134,NORTHWEST EXPLORER,26-JUN-2024 10:30AM,57.66442,-167.13874,57.69001,-167.15096,68,2.937,.518,.046898,1.852,15.968,0,2.5,4.6,68580,snow crab,Chionoecetes opilio,4.395,26,93.713986,554.394455,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,Q-30,-23773,170,134,NORTHWEST EXPLORER,21-JUL-2024 10:55AM,60.33684,-176.73828,60.33933,-176.68924,137,2.73,.492,.043598,2.01,15.97,0,.9,7.5,68580,snow crab,Chionoecetes opilio,25.746,192,590.530321,4403.861636,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,G-24,-23888,199,134,NORTHWEST EXPLORER,29-JUL-2024 02:37PM,56.99856,-172.05297,56.99242,-172.00851,118,2.793,.501,.045375,1.864,16.246,0,3.3,8.3,68580,snow crab,Chionoecetes opilio,5.08,10,111.95573,220.385296,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,43,O-25,-23825,185,162,ALASKA KNIGHT,22-JUL-2024 10:34AM,59.66928,-173.28441,59.66219,-173.23454,96,2.926,.529,.046611,1.516,15.93,0,1.2,7.1,68580,snow crab,Chionoecetes opilio,106.685,1483,2288.82856,31816.40113,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,31,H-06,-23285,61,162,ALASKA KNIGHT,14-JUN-2024 07:11AM,57.35267,-164.61317,57.32739,-164.62905,65,2.969,.526,.042181,1.951,14.207,0,2.8,4.2,68580,snow crab,Chionoecetes opilio,.73,2,17.306541,47.415182,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,31,I-04,-23363,77,162,ALASKA KNIGHT,20-JUN-2024 12:55PM,57.6621,-165.85913,57.68882,-165.86158,64,2.974,.534,.043111,1.822,14.496,0,2.7,6.9,68580,snow crab,Chionoecetes opilio,4.43,17,102.757749,394.329962,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,N-21,-23486,114,162,ALASKA KNIGHT,01-JUL-2024 09:45AM,59.34148,-170.53159,59.31684,-170.55023,68,2.937,.539,.042493,1.865,14.468,0,-.3,3.7,68580,snow crab,Chionoecetes opilio,333.537,13591,7849.311629,319844.558039,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,20,N-19,-23473,105,134,NORTHWEST EXPLORER,30-JUN-2024 12:18PM,59.36106,-169.24224,59.33462,-169.2477,50,2.954,.525,.045046,2.029,15.249,0,2.6,3.3,68580,snow crab,Chionoecetes opilio,.312,11,6.926323,244.197284,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,82,V-25,-23724,166,162,ALASKA KNIGHT,17-JUL-2024 10:20AM,61.9829,-173.71506,62.00343,-173.74352,63,2.729,.514,.044843,2.064,16.432,0,-1.6,6.1,68580,snow crab,Chionoecetes opilio,69.246,2165,1544.189978,48279.630625,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,82,V-27,-23728,159,134,NORTHWEST EXPLORER,18-JUL-2024 10:28AM,61.98559,-175.16813,62.00394,-175.20702,81,2.888,.514,.046641,2.069,16.15,0,.9,5.8,68580,snow crab,Chionoecetes opilio,12.692,350,272.119928,7504.095092,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,H-26,-23871,194,134,NORTHWEST EXPLORER,28-JUL-2024 07:41AM,57.31454,-173.35268,57.33442,-173.32607,122,2.732,.495,.044316,1.874,16.221,0,3.2,8.3,68580,snow crab,Chionoecetes opilio,.284,5,6.408554,112.826648,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,L-24,-23858,190,134,NORTHWEST EXPLORER,27-JUL-2024 10:33AM,58.68071,-172.37988,58.6576,-172.35898,102,2.842,.507,.045722,1.866,16.088,0,1.7,8,68580,snow crab,Chionoecetes opilio,.583,2,12.750947,43.742527,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,32,H-18,-23525,123,162,ALASKA KNIGHT,03-JUL-2024 12:53PM,57.33799,-168.35243,57.32018,-168.39227,73,3.114,.556,.046529,2.198,14.942,0,2.9,6.2,68580,snow crab,Chionoecetes opilio,21.873,240,470.09,5158.030447,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,L-22,-23683,150,162,ALASKA KNIGHT,13-JUL-2024 01:24PM,58.65007,-171.0723,58.6748,-171.08162,83,2.801,.514,.045569,2.108,16.269,0,.4,6.2,68580,snow crab,Chionoecetes opilio,189.247,3694,4152.934062,81063.04684,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,41,J-23,-23655,139,134,NORTHWEST EXPLORER,12-JUL-2024 05:43PM,57.97417,-171.59309,58.00033,-171.59605,98,2.913,.519,.048233,1.57,16.558,0,1.6,7,68580,snow crab,Chionoecetes opilio,9.868,41,204.588293,850.032428,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,31,I-01,-23433,98,162,ALASKA KNIGHT,26-JUN-2024 07:34AM,57.63798,-167.72379,57.66202,-167.74576,70,2.978,.535,.047639,1.689,15.997,0,2.5,5.1,68580,snow crab,Chionoecetes opilio,2.535,16,53.21263,335.85881,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,M-27,-23850,186,134,NORTHWEST EXPLORER,26-JUL-2024 10:21AM,59.00257,-174.39601,59.00392,-174.34733,127,2.809,.514,.044107,1.829,15.702,0,2.2,8,68580,snow crab,Chionoecetes opilio,1.087,5,24.64466,113.360902,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,R-22,-23703,159,162,ALASKA KNIGHT,15-JUL-2024 01:30PM,60.66483,-171.41831,60.68999,-171.4058,63,2.878,.522,.050748,2.079,17.633,6,-1.2,5.8,68580,snow crab,Chionoecetes opilio,88.54,2420,1744.707068,47686.820707,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,S-25,-23715,163,162,ALASKA KNIGHT,16-JUL-2024 12:45PM,61.00518,-173.48201,60.98417,-173.51647,75,2.992,.535,.046433,2.277,15.519,4,.6,6.5,68580,snow crab,Chionoecetes opilio,36.364,846,783.152479,18219.860216,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,62,O-27,-23767,183,162,ALASKA KNIGHT,21-JUL-2024 04:55PM,59.67734,-174.44648,59.65496,-174.42161,115,2.857,.52,.046398,1.597,16.24,0,1.6,7.4,68580,snow crab,Chionoecetes opilio,3.318,13,71.512196,280.186423,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,43,P-26,-23765,181,162,ALASKA KNIGHT,21-JUL-2024 10:53AM,60.00389,-173.95257,59.99362,-173.99976,97,2.876,.525,.046292,1.754,16.096,0,1.3,7.2,68580,snow crab,Chionoecetes opilio,328.084,4577,7087.257401,98872.170316,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,90,S-30,-23754,166,134,NORTHWEST EXPLORER,20-JUL-2024 07:40AM,61.0053,-176.99327,61.00976,-176.94032,122,2.915,.518,.048424,2.193,16.612,0,.9,6.7,68580,snow crab,Chionoecetes opilio,49.119,293,1014.352806,6050.721151,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,31,E-04,-23348,73,162,ALASKA KNIGHT,19-JUN-2024 01:46PM,56.31308,-165.80405,56.34,-165.81738,92,3.104,.546,.046967,1.886,15.131,0,3.8,8.1,68580,snow crab,Chionoecetes opilio,.515,2,10.965234,42.583431,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,41,L-20,-23501,109,134,NORTHWEST EXPLORER,01-JUL-2024 12:55PM,58.66853,-169.80041,58.67224,-169.85072,67,2.956,.527,.045688,1.953,15.456,0,1.6,3.7,68580,snow crab,Chionoecetes opilio,253.79,6788,5554.85807,148573.137556,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,42,J-18,-23506,120,162,ALASKA KNIGHT,02-JUL-2024 03:50PM,57.99929,-168.44775,57.99025,-168.40087,70,2.955,.524,.044227,1.838,14.967,0,3.2,4.8,68580,snow crab,Chionoecetes opilio,7.306,70,165.191396,1582.726217,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,41,L-23,-23662,141,134,NORTHWEST EXPLORER,13-JUL-2024 10:24AM,58.64435,-171.71718,58.67068,-171.72097,93,2.934,.519,.048088,1.654,16.39,0,.9,6.4,68580,snow crab,Chionoecetes opilio,9.569,77,198.988277,1601.222419,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,61,F-23,-23642,143,162,ALASKA KNIGHT,11-JUL-2024 02:58PM,56.66064,-171.26066,56.66735,-171.3039,119,2.759,.511,.043934,2.074,15.924,0,3.6,7.7,68580,snow crab,Chionoecetes opilio,6.32,15,143.851107,341.418767,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,K-18,-23435,100,162,ALASKA KNIGHT,26-JUN-2024 03:20PM,58.32285,-168.40142,58.34327,-168.43362,65,2.955,.532,.046586,1.827,15.765,0,1.7,4,68580,snow crab,Chionoecetes opilio,20.932,647,449.323637,13888.419323,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,61,F-24,-23887,198,134,NORTHWEST EXPLORER,29-JUL-2024 11:10AM,56.6666,-171.9927,56.6681,-171.94766,126,2.772,.498,.045264,1.781,16.329,0,3.6,8,68580,snow crab,Chionoecetes opilio,31.69,50,700.115067,1104.630904,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,61,K-26,-23867,200,162,ALASKA KNIGHT,27-JUL-2024 07:42AM,58.33283,-173.60936,58.32572,-173.56388,116,2.786,.506,.043579,1.693,15.642,0,2.7,8.1,68580,snow crab,Chionoecetes opilio,18.78,34,430.945345,780.199241,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,P-22,-23699,156,162,ALASKA KNIGHT,15-JUL-2024 07:25AM,59.98393,-171.25693,60.00145,-171.29321,69,2.814,.513,.044934,2.168,15.968,0,-1,5.5,68580,snow crab,Chionoecetes opilio,74.386,1785,1655.451984,39724.972333,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,41,O-22,-23695,153,162,ALASKA KNIGHT,14-JUL-2024 10:43AM,59.66788,-171.23755,59.67721,-171.28773,72,3.02,.534,.049694,2.102,16.455,0,-.8,5.3,68580,snow crab,Chionoecetes opilio,112.816,2554,2270.20914,51394.43113,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-767,61,E-22,-23640,141,162,ALASKA KNIGHT,11-JUL-2024 07:59AM,56.33396,-170.64486,56.35488,-170.6711,120,2.837,.516,.045676,2.166,16.1,0,3.8,7.3,68580,snow crab,Chionoecetes opilio,1.055,4,23.097621,87.573918,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,42,F-21,-23623,134,134,NORTHWEST EXPLORER,11-JUL-2024 11:03AM,56.65863,-170.10433,56.68187,-170.12672,97,2.926,.521,.046781,1.688,15.988,0,3.8,6.1,68580,snow crab,Chionoecetes opilio,1.293,3,27.639492,64.128753,High,species,98428,107315
2024,98,Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey,eastern Bering Sea,EBS,202401,-768,31,F-03,-23414,85,134,NORTHWEST EXPLORER,24-JUN-2024 07:04AM,56.67471,-166.44329,56.6494,-166.43238,85,2.891,.519,.045438,1.952,15.717,0,3.2,8.7,68580,snow crab,Chionoecetes opilio,1.89,14,41.595281,308.11319,High,species,98428,107315
